EpisodeID,Character,Count
0,Other,-47.0
0,Penny,-517.0
0,Bernadette,-0.1
0,Amy,-0.1
0,Leonard,1152.0
0,Raj,6.0
0,Sheldon,1151.0
0,Howard,212.0
1,Other,-11.0
1,Penny,-511.0
1,Bernadette,-0.1
1,Amy,-0.1
1,Leonard,933.0
1,Raj,131.0
1,Sheldon,960.0
1,Howard,219.0
2,Other,-169.0
2,Penny,-291.0
2,Bernadette,-0.1
2,Amy,-0.1
2,Leonard,1345.0
2,Raj,64.0
2,Sheldon,688.0
2,Howard,309.0
3,Other,-744.0
3,Penny,-199.0
3,Bernadette,-0.1
3,Amy,-0.1
3,Leonard,392.0
3,Raj,30.0
3,Sheldon,1244.0
3,Howard,41.0
4,Other,-475.0
4,Penny,-371.0
4,Bernadette,-0.1
4,Amy,-0.1
4,Leonard,735.0
4,Raj,70.0
4,Sheldon,707.0
4,Howard,121.0
5,Other,-201.0
5,Penny,-444.0
5,Bernadette,-0.1
5,Amy,-0.1
5,Leonard,724.0
5,Raj,192.0
5,Sheldon,691.0
5,Howard,245.0
6,Other,-292.0
6,Penny,-550.0
6,Bernadette,-0.1
6,Amy,-0.1
6,Leonard,598.0
6,Raj,120.0
6,Sheldon,1079.0
6,Howard,317.0
7,Other,-467.0
7,Penny,-280.0
7,Bernadette,-0.1
7,Amy,-0.1
7,Leonard,355.0
7,Raj,779.0
7,Sheldon,708.0
7,Howard,219.0
8,Other,-26.0
8,Penny,-564.0
8,Bernadette,-0.1
8,Amy,-0.1
8,Leonard,893.0
8,Raj,72.0
8,Sheldon,774.0
8,Howard,231.0
9,Other,-308.0
9,Penny,-458.0
9,Bernadette,-0.1
9,Amy,-0.1
9,Leonard,593.0
9,Raj,17.0
9,Sheldon,1180.0
9,Howard,86.0
10,Other,-56.0
10,Penny,-338.0
10,Bernadette,-0.1
10,Amy,-0.1
10,Leonard,531.0
10,Raj,94.0
10,Sheldon,809.0
10,Howard,379.0
11,Other,-518.0
11,Penny,-85.0
11,Bernadette,-0.1
11,Amy,-0.1
11,Leonard,572.0
11,Raj,253.0
11,Sheldon,957.0
11,Howard,481.0
12,Other,-422.0
12,Penny,-361.0
12,Bernadette,-0.1
12,Amy,-0.1
12,Leonard,651.0
12,Raj,205.0
12,Sheldon,724.0
12,Howard,295.0
13,Other,-15.0
13,Penny,-322.0
13,Bernadette,-0.1
13,Amy,-0.1
13,Leonard,697.0
13,Raj,341.0
13,Sheldon,906.0
13,Howard,383.0
14,Other,-498.0
14,Penny,-101.0
14,Bernadette,-0.1
14,Amy,-0.1
14,Leonard,530.0
14,Raj,265.0
14,Sheldon,900.0
14,Howard,298.0
15,Other,-137.0
15,Penny,-731.0
15,Bernadette,-0.1
15,Amy,-0.1
15,Leonard,455.0
15,Raj,69.0
15,Sheldon,767.0
15,Howard,629.0
16,Other,-12.0
16,Penny,-817.0
16,Bernadette,-0.1
16,Amy,-0.1
16,Leonard,598.0
16,Raj,52.0
16,Sheldon,1003.0
16,Howard,181.0
17,Other,-28.0
17,Penny,-432.0
17,Bernadette,-0.1
17,Amy,-0.1
17,Leonard,587.0
17,Raj,199.0
17,Sheldon,1151.0
17,Howard,322.0
18,Other,-501.0
18,Penny,-331.0
18,Bernadette,-0.1
18,Amy,-0.1
18,Leonard,567.0
18,Raj,137.0
18,Sheldon,1042.0
18,Howard,154.0
19,Other,-248.0
19,Penny,-668.0
19,Bernadette,-0.1
19,Amy,-0.1
19,Leonard,323.0
19,Raj,47.0
19,Sheldon,1274.0
19,Howard,53.0
