EpisodeID,Character,ReplyTo
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Other,Leonard
0,Leonard,Other
0,Other,Leonard
0,Leonard,Other
0,Other,Leonard
0,Sheldon,Other
0,Other,Sheldon
0,Leonard,Other
0,Other,Leonard
0,Sheldon,Other
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Other,Leonard
0,Sheldon,Other
0,Leonard,Sheldon
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Penny,Sheldon
0,Leonard,Penny
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Penny,Sheldon
0,Leonard,Penny
0,Penny,Leonard
0,Leonard,Penny
0,Penny,Leonard
0,Leonard,Penny
0,Penny,Leonard
0,Leonard,Penny
0,Sheldon,Leonard
0,Penny,Sheldon
0,Leonard,Penny
0,Penny,Leonard
0,Leonard,Penny
0,Penny,Leonard
0,Sheldon,Penny
0,Leonard,Sheldon
0,Penny,Leonard
0,Sheldon,Penny
0,Leonard,Sheldon
0,Leonard,Leonard
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Penny,Leonard
0,Sheldon,Penny
0,Leonard,Sheldon
0,Penny,Leonard
0,Leonard,Penny
0,Sheldon,Leonard
0,Penny,Sheldon
0,Leonard,Penny
0,Penny,Leonard
0,Leonard,Penny
0,Penny,Leonard
0,Sheldon,Penny
0,Penny,Leonard
0,Leonard,Penny
0,Penny,Leonard
0,Sheldon,Penny
0,Penny,Sheldon
0,Sheldon,Penny
0,Penny,Sheldon
0,Sheldon,Penny
0,Penny,Sheldon
0,Leonard,Penny
0,Penny,Leonard
0,Sheldon,Penny
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Penny,Sheldon
0,Sheldon,Penny
0,Penny,Sheldon
0,Sheldon,Penny
0,Penny,Sheldon
0,Sheldon,Penny
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Penny,Sheldon
0,Sheldon,Penny
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Penny,Leonard
0,Leonard,Penny
0,Penny,Leonard
0,Sheldon,Penny
0,Penny,Sheldon
0,Leonard,Penny
0,Penny,Leonard
0,Sheldon,Penny
0,Leonard,Sheldon
0,Penny,Leonard
0,Leonard,Penny
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Penny,Leonard
0,Leonard,Penny
0,Penny,Leonard
0,Leonard,Penny
0,Penny,Leonard
0,Leonard,Penny
0,Penny,Leonard
0,Sheldon,Penny
0,Leonard,Sheldon
0,Penny,Leonard
0,Sheldon,Penny
0,Leonard,Sheldon
0,Penny,Leonard
0,Leonard,Penny
0,Sheldon,Leonard
0,Penny,Sheldon
0,Sheldon,Penny
0,Leonard,Sheldon
0,Penny,Leonard
0,Leonard,Penny
0,Penny,Leonard
0,Sheldon,Penny
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Penny,Leonard
0,Sheldon,Penny
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Howard,Leonard
0,Raj,Howard
0,Leonard,Raj
0,Howard,Leonard
0,Leonard,Howard
0,Howard,Leonard
0,Leonard,Howard
0,Raj,Leonard
0,Leonard,Raj
0,Sheldon,Leonard
0,Howard,Sheldon
0,Leonard,Howard
0,Howard,Leonard
0,Leonard,Howard
0,Howard,Leonard
0,Leonard,Howard
0,Howard,Leonard
0,Leonard,Howard
0,Sheldon,Leonard
0,Penny,Sheldon
0,Howard,Penny
0,Penny,Howard
0,Leonard,Penny
0,Howard,Leonard
0,Penny,Howard
0,Howard,Penny
0,Leonard,Howard
0,Howard,Leonard
0,Penny,Leonard
0,Leonard,Penny
0,Penny,Leonard
0,Leonard,Penny
0,Penny,Leonard
0,Leonard,Penny
0,Penny,Leonard
0,Leonard,Penny
0,Penny,Leonard
0,Leonard,Penny
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Penny,Penny
0,Howard,Penny
0,Penny,Howard
0,Howard,Penny
0,Other,Leonard
0,Leonard,Other
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Other,Leonard
0,Sheldon,Other
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Sheldon,Sheldon
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Other,Sheldon
0,Leonard,Other
0,Sheldon,Leonard
0,Other,Sheldon
0,Leonard,Other
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Penny,Howard
0,Howard,Penny
0,Penny,Howard
0,Howard,Penny
0,Penny,Howard
0,Raj,Penny
0,Leonard,Raj
0,Penny,Leonard
0,Leonard,Penny
0,Penny,Leonard
0,Leonard,Penny
0,Sheldon,Leonard
0,Penny,Sheldon
0,Leonard,Penny
0,Sheldon,Leonard
0,Leonard,Sheldon
0,Sheldon,Leonard
0,Penny,Leonard
0,Sheldon,Penny
0,Penny,Sheldon
0,Sheldon,Penny
0,Penny,Sheldon
0,Sheldon,Penny
0,Penny,Sheldon
0,Howard,Penny
0,Penny,Howard
0,Howard,Penny
0,Sheldon,Howard
1,Howard,Leonard
1,Leonard,Howard
1,Sheldon,Leonard
1,Raj,Sheldon
1,Sheldon,Raj
1,Leonard,Sheldon
1,Sheldon,Leonard
1,Leonard,Sheldon
1,Howard,Leonard
1,Penny,Howard
1,Leonard,Penny
1,Penny,Leonard
1,Leonard,Penny
1,Sheldon,Leonard
1,Howard,Sheldon
1,Penny,Howard
1,Leonard,Penny
1,Penny,Leonard
1,Leonard,Penny
1,Penny,Leonard
1,Leonard,Penny
1,Penny,Leonard
1,Howard,Penny
1,Penny,Howard
1,Howard,Penny
1,Penny,Howard
1,Howard,Penny
1,Penny,Howard
1,Sheldon,Penny
1,Penny,Sheldon
1,Sheldon,Penny
1,Howard,Sheldon
1,Leonard,Howard
1,Penny,Leonard
1,Leonard,Penny
1,Penny,Leonard
1,Leonard,Penny
1,Penny,Leonard
1,Leonard,Penny
1,Penny,Leonard
1,Sheldon,Penny
1,Penny,Sheldon
1,Other,Penny
1,Sheldon,Other
1,Penny,Sheldon
1,Sheldon,Penny
1,Leonard,Sheldon
1,Sheldon,Leonard
1,Leonard,Sheldon
1,Sheldon,Leonard
1,Howard,Sheldon
1,Sheldon,Howard
1,Penny,Sheldon
1,Leonard,Penny
1,Sheldon,Leonard
1,Raj,Sheldon
1,Sheldon,Leonard
1,Leonard,Sheldon
1,Sheldon,Leonard
1,Leonard,Sheldon
1,Sheldon,Leonard
1,Leonard,Sheldon
1,Sheldon,Leonard
