EpisodeID,Character,Replica
0,"Scene","A corridor at a sperm bank."
0,"Sheldon","So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If it is unobserved it will, however, if it is observed after it is left the plane but before it hits its target, it will not have gone through both slits."
0,"Leonard","Agreed, what is your point?"
0,"Sheldon","There is no point, I just think it is a good idea for a tee-shirt."
0,"Leonard","Excuse me?"
0,"Receptionist","Hang on."
0,"Leonard","One across is Aegean, eight down is Nabakov, twenty-six across is MCM, fourteen down is… move your finger… phylum, which makes fourteen across Port-au-Prince. See, Papa Doc’s capital idea, that is Port-au-Prince. Haiti."
0,"Receptionist","Can I help you?"
0,"Leonard","Yes. Um, is this the High IQ sperm bank?"
0,"Receptionist","If you have to ask, maybe you should not be here."
0,"Sheldon","I think this is the place."
0,"Receptionist","Fill these out."
0,"Leonard","Thank-you. We will be right back."
0,"Receptionist","Oh, take your time. I will just finish my crossword puzzle. Oh wait."
0,"Sheldon","Leonard, I do not think I can do this."
0,"Leonard","What, are you kidding? You are a semi-pro."
0,"Sheldon","No. We are committing genetic fraud. There is no guarantee that our sperm is going to generate high IQ offspring, think about that. I have a sister with the same basic DNA mix who hostesses at Fuddruckers."
0,"Leonard","Sheldon, this was your idea. A little extra money to get fractional T1 bandwidth in the apartment."
0,"Sheldon","I know, and I do yearn for faster downloads, but there is some poor woman is going to pin her hopes on my sperm, what if she winds up with a toddler who does not know if he should use an integral or a differential to solve the area under a curve."
0,"Leonard","I am sure she will still love him."
0,"Sheldon","I would not."
0,"Leonard","Well, what do you want to do?"
0,"Sheldon","I want to leave."
0,"Leonard","Okay."
0,"Sheldon","What is the protocol for leaving?"
0,"Leonard","I do not know, I have never reneged on a proffer of sperm before."
0,"Sheldon","Let’s try just walking out."
0,"Leonard","Okay."
0,"Receptionist","Bye."
0,"Sheldon","Bye-bye"
0,"Leonard","See you."
0,"Scene","The stairs of the apartment building."
0,"Sheldon","Are you still mad about the sperm bank?"
0,"Leonard","No."
0,"Sheldon","You want to hear an interesting thing about stairs?"
0,"Leonard","Not really."
0,"Sheldon","If the height of a single step is off by as little as two millimetres, most people will trip."
0,"Leonard","I do not care. Two millimetres? That does not seem right."
0,"Sheldon","No, it is true, I did a series of experiments when I was twelve, my father broke his clavicle."
0,"Leonard","Is that why they sent you to boarding school?"
0,"Sheldon","No, that was the result of my work with lasers."
0,"Leonard","New neighbour?"
0,"Sheldon","Evidently."
0,"Leonard","Significant improvement over the old neighbour."
0,"Sheldon","Two hundred pound transvestite with a skin condition, yes she is."
0,"Penny","Oh, hi!"
0,"Leonard","Hi."
0,"Sheldon","Hi."
0,"Leonard","Hi."
0,"Sheldon","Hi."
0,"Penny","Hi?"
0,"Leonard","We do not mean to interrupt, we live across the hall."
0,"Penny","Oh, that is nice."
0,"Leonard","Oh… uh… no… we do not live together… um… we live together but in separate, heterosexual bedrooms."
0,"Penny","Oh, okay, well, guess I am your new neighbour, Penny."
0,"Leonard","Leonard, Sheldon."
0,"Penny","Hi."
0,"Leonard","Hi."
0,"Sheldon","Hi."
0,"Penny","Hi."
0,"Leonard","Hi. Well, uh, oh, welcome to the building."
0,"Penny","Thankyou, maybe we can have coffee sometime."
0,"Leonard","Oh, great."
0,"Penny","Great."
0,"Sheldon","Great."
0,"Leonard","Great. Well, bye."
0,"Penny","Bye."
0,"Sheldon","Bye."
0,"Leonard","Bye."
0,"Leonard","Should we have invited her for lunch?"
0,"Sheldon","No. We are going to start Season Two of Battlestar Galactica."
0,"Leonard","We already watched the Season Two DVDs."
0,"Sheldon","Not with commentary."
0,"Leonard","I think we should be good neighbours, invite her over, make her feel welcome."
0,"Sheldon","We never invited Louis-slash-Louise over."
0,"Leonard","Well, then that was wrong of us. We need to widen our circle."
0,"Sheldon","I have a very wide circle. I have 212 friends on myspace."
0,"Leonard","Yes, and you have never met one of them."
0,"Sheldon","That is the beauty of it."
0,"Leonard","I am going to invite her over. We will have a nice meal and chat."
0,"Sheldon","Chat? We do not chat. At least not offline."
0,"Leonard","Well it is not difficult, you just listen to what she says and then you say something appropriate in response."
0,"Sheldon","To what end?"
0,"Leonard","Hi. Again."
0,"Penny","Hi."
0,"Sheldon","Hi."
0,"Leonard","Hi."
0,"Penny","Hi."
0,"Leonard","Anyway, um. We brought home Indian food. And, um. I know that moving can be stressful, and I find that when I am undergoing stress, that good food and company can have a comforting effect. Also, curry is a natural laxative, and I do not have to tell you that, uh, a clean colon is just one less thing to worry about."
